Status,URL,Message,File,Line,Context
404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top,HTTP Error: Not Found,LINK_AUDIT_REPORT.csv,13,"col_Library_v2.docx,240,**[Iconic 3/4 Sleeve Top](https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top)** - Great for upper body recovery."
404,https://www.elastiqueathletics.com/collections/loriginal-collection,HTTP Error: Not Found,LINK_AUDIT_REPORT.csv,14,"404,https://www.elastiqueathletics.com/collections/loriginal-collection,HTTP Error: Not Found,10_Master_Protocol_Library_v2.do"
404,https://www.elastiqueathletics.com/collections/loriginal-collection,HTTP Error: Not Found,LINK_AUDIT_REPORT.csv,14,"col_Library_v2.docx,267,**[L'Original Collection](https://www.elastiqueathletics.com/collections/loriginal-collection)** - The full MicroPerle experience."
404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top,HTTP Error: Not Found,LINK_AUDIT_REPORT.csv,15,"404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top`,HTTP Error: Not Found,LINK_AUDIT_FINAL.md,16,- `"
404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top,HTTP Error: Not Found,LINK_AUDIT_REPORT.csv,15,"`,HTTP Error: Not Found,LINK_AUDIT_FINAL.md,16,- `https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top`"
404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top,HTTP Error: Not Found,LINK_AUDIT_REPORT.csv,16,"404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top`,HTTP Error: Not Found,LINK_AUDIT_REPORT.md,9,- ["
404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top,HTTP Error: Not Found,LINK_AUDIT_REPORT.csv,16,"Not Found,LINK_AUDIT_REPORT.md,9,- [ ] **URL**: `https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top`"
404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top**,HTTP Error: Not Found,LINK_AUDIT_REPORT.csv,17,"404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top**,HTTP Error: Not Found,LINK_AUDIT_REPORT.md,12,- **Cont"
404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top**,HTTP Error: Not Found,LINK_AUDIT_REPORT.csv,17,"md,12,- **Context**: ...[Iconic 3/4 Sleeve Top](**https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top**) - Built-in arm compression...."
404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top,HTTP Error: Not Found,LINK_AUDIT_REPORT.csv,18,"404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top`,HTTP Error: Not Found,LINK_AUDIT_REPORT.md,14,-"
404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top,HTTP Error: Not Found,LINK_AUDIT_REPORT.csv,18,"Not Found,LINK_AUDIT_REPORT.md,14,- [ ] **URL**: `https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top`"
404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top**,HTTP Error: Not Found,LINK_AUDIT_REPORT.csv,19,"404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top**,HTTP Error: Not Found,LINK_AUDIT_REPORT.md,17,- **Cont"
404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top**,HTTP Error: Not Found,LINK_AUDIT_REPORT.csv,19,",17,- **Context**: ...**[Iconic 3/4 Sleeve Top](**https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top**)** - Provides built-in arm compression to reduce."
404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top,HTTP Error: Not Found,LINK_AUDIT_REPORT.csv,20,"404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top`,HTTP Error: Not Found,LINK_AUDIT_REPORT.md,19,-"
404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top,HTTP Error: Not Found,LINK_AUDIT_REPORT.csv,20,"Not Found,LINK_AUDIT_REPORT.md,19,- [ ] **URL**: `https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top`"
404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top**,HTTP Error: Not Found,LINK_AUDIT_REPORT.csv,21,"404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top**,HTTP Error: Not Found,LINK_AUDIT_REPORT.md,22,- **Cont"
404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top**,HTTP Error: Not Found,LINK_AUDIT_REPORT.csv,21,",22,- **Context**: ...**[Iconic 3/4 Sleeve Top](**https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top**)** - Built-in support and compression to reduce f"
404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top,HTTP Error: Not Found,LINK_AUDIT_REPORT.csv,22,"404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top`,HTTP Error: Not Found,LINK_AUDIT_REPORT.md,24,-"
404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top,HTTP Error: Not Found,LINK_AUDIT_REPORT.csv,22,"Not Found,LINK_AUDIT_REPORT.md,24,- [ ] **URL**: `https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top`"
404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top**,HTTP Error: Not Found,LINK_AUDIT_REPORT.csv,23,"404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top**,HTTP Error: Not Found,LINK_AUDIT_REPORT.md,27,- **Cont"
404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top**,HTTP Error: Not Found,LINK_AUDIT_REPORT.csv,23,",27,- **Context**: ...**[Iconic 3/4 Sleeve Top](**https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top**)** - Great for upper body recovery...."
404,https://www.elastiqueathletics.com/collections/loriginal-collection,HTTP Error: Not Found,LINK_AUDIT_REPORT.csv,24,"404,https://www.elastiqueathletics.com/collections/loriginal-collection`,HTTP Error: Not Found,LINK_AUDIT_REPORT.md,29,-"
404,https://www.elastiqueathletics.com/collections/loriginal-collection,HTTP Error: Not Found,LINK_AUDIT_REPORT.csv,24,"Not Found,LINK_AUDIT_REPORT.md,29,- [ ] **URL**: `https://www.elastiqueathletics.com/collections/loriginal-collection`"
404,https://www.elastiqueathletics.com/collections/loriginal-collection**,HTTP Error: Not Found,LINK_AUDIT_REPORT.csv,25,"404,https://www.elastiqueathletics.com/collections/loriginal-collection**,HTTP Error: Not Found,LINK_AUDIT_REPORT.md,32,- **Cont"
404,https://www.elastiqueathletics.com/collections/loriginal-collection**,HTTP Error: Not Found,LINK_AUDIT_REPORT.csv,25,",32,- **Context**: ...**[L'Original Collection](**https://www.elastiqueathletics.com/collections/loriginal-collection**)** - The full MicroPerle experience...."
404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top,HTTP Error: Not Found,LINK_AUDIT_REPORT.csv,26,"404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top`,HTTP Error: Not Found,LINK_AUDIT_REPORT.md,34,-"
404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top,HTTP Error: Not Found,LINK_AUDIT_REPORT.csv,26,"Not Found,LINK_AUDIT_REPORT.md,34,- [ ] **URL**: `https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top`"
404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top**,HTTP Error: Not Found,LINK_AUDIT_REPORT.csv,27,"404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top**,HTTP Error: Not Found,LINK_AUDIT_REPORT.md,37,- **Cont"
404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top**,HTTP Error: Not Found,LINK_AUDIT_REPORT.csv,27,- **Context**: ...*   **[Iconic 3/4 Sleeve Top](**https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top**)** - Provides built-in arm compression to reduce.
404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top,HTTP Error: Not Found,LINK_AUDIT_REPORT.csv,28,"404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top`,HTTP Error: Not Found,LINK_AUDIT_REPORT.md,39,-"
404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top,HTTP Error: Not Found,LINK_AUDIT_REPORT.csv,28,"Not Found,LINK_AUDIT_REPORT.md,39,- [ ] **URL**: `https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top`"
404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top**,HTTP Error: Not Found,LINK_AUDIT_REPORT.csv,29,"404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top**,HTTP Error: Not Found,LINK_AUDIT_REPORT.md,42,- **Cont"
404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top**,HTTP Error: Not Found,LINK_AUDIT_REPORT.csv,29,- **Context**: ...*   **[Iconic 3/4 Sleeve Top](**https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top**)** - Built-in support and compression to reduce f
404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top,HTTP Error: Not Found,LINK_AUDIT_REPORT.csv,30,"404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top`,HTTP Error: Not Found,LINK_AUDIT_REPORT.md,44,-"
404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top,HTTP Error: Not Found,LINK_AUDIT_REPORT.csv,30,"Not Found,LINK_AUDIT_REPORT.md,44,- [ ] **URL**: `https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top`"
404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top**,HTTP Error: Not Found,LINK_AUDIT_REPORT.csv,31,"404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top**,HTTP Error: Not Found,LINK_AUDIT_REPORT.md,47,- **Cont"
404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top**,HTTP Error: Not Found,LINK_AUDIT_REPORT.csv,31,- **Context**: ...*   **[Iconic 3/4 Sleeve Top](**https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top**)** - Great for upper body recovery....
404,https://www.elastiqueathletics.com/collections/loriginal-collection,HTTP Error: Not Found,LINK_AUDIT_REPORT.csv,32,"404,https://www.elastiqueathletics.com/collections/loriginal-collection`,HTTP Error: Not Found,LINK_AUDIT_REPORT.md,49,-"
404,https://www.elastiqueathletics.com/collections/loriginal-collection,HTTP Error: Not Found,LINK_AUDIT_REPORT.csv,32,"Not Found,LINK_AUDIT_REPORT.md,49,- [ ] **URL**: `https://www.elastiqueathletics.com/collections/loriginal-collection`"
404,https://www.elastiqueathletics.com/collections/loriginal-collection**,HTTP Error: Not Found,LINK_AUDIT_REPORT.csv,33,"404,https://www.elastiqueathletics.com/collections/loriginal-collection**,HTTP Error: Not Found,LINK_AUDIT_REPORT.md,52,- **Cont"
404,https://www.elastiqueathletics.com/collections/loriginal-collection**,HTTP Error: Not Found,LINK_AUDIT_REPORT.csv,33,- **Context**: ...*   **[L'Original Collection](**https://www.elastiqueathletics.com/collections/loriginal-collection**)** - The full MicroPerle experience....
404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top,HTTP Error: Not Found,LINK_AUDIT_REPORT.csv,34,"404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top`,HTTP Error: Not Found,LINK_AUDIT_REPORT.md,54,-"
404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top,HTTP Error: Not Found,LINK_AUDIT_REPORT.csv,34,"Not Found,LINK_AUDIT_REPORT.md,54,- [ ] **URL**: `https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top`"
404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top**,HTTP Error: Not Found,LINK_AUDIT_REPORT.csv,35,"404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top**,HTTP Error: Not Found,LINK_AUDIT_REPORT.md,57,- **Cont"
404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top**,HTTP Error: Not Found,LINK_AUDIT_REPORT.csv,35,",57,- **Context**: ...**[Iconic 3/4 Sleeve Top](**https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top**)** - Provides built-in arm compression to reduce."
404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top,HTTP Error: Not Found,LINK_AUDIT_REPORT.csv,36,"404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top`,HTTP Error: Not Found,LINK_AUDIT_REPORT.md,59,-"
404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top,HTTP Error: Not Found,LINK_AUDIT_REPORT.csv,36,"Not Found,LINK_AUDIT_REPORT.md,59,- [ ] **URL**: `https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top`"
404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top**,HTTP Error: Not Found,LINK_AUDIT_REPORT.csv,37,"404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top**,HTTP Error: Not Found,LINK_AUDIT_REPORT.md,62,- **Cont"
404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top**,HTTP Error: Not Found,LINK_AUDIT_REPORT.csv,37,",62,- **Context**: ...**[Iconic 3/4 Sleeve Top](**https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top**)** - Built-in support and compression to reduce f"
404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top,HTTP Error: Not Found,LINK_AUDIT_REPORT.csv,38,"404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top`,HTTP Error: Not Found,LINK_AUDIT_REPORT.md,64,-"
404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top,HTTP Error: Not Found,LINK_AUDIT_REPORT.csv,38,"Not Found,LINK_AUDIT_REPORT.md,64,- [ ] **URL**: `https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top`"
404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top**,HTTP Error: Not Found,LINK_AUDIT_REPORT.csv,39,"404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top**,HTTP Error: Not Found,LINK_AUDIT_REPORT.md,67,- **Cont"
404,https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top**,HTTP Error: Not Found,LINK_AUDIT_REPORT.csv,39,",67,- **Context**: ...**[Iconic 3/4 Sleeve Top](**https://www.elastiqueathletics.com/products/iconic-3-4-sleeve-top**)** - Great for upper body recovery...."
404,https://www.elastiqueathletics.com/collections/loriginal-collection,HTTP Error: Not Found,LINK_AUDIT_REPORT.csv,40,"404,https://www.elastiqueathletics.com/collections/loriginal-collection`,HTTP Error: Not Found,LINK_AUDIT_REPORT.md,69,-"
